id,no,project,reporter,type,priority,contributors,turn_no,assignee,started,ended,spent hours,steps,comments count,valid,Q1,Q2,Q3,Notes,compositeScore,performanceBinary
,,,,,,,2,4lhl,2022-01-10 12:44:26+00:00,2022-02-21 12:33:19+00:00,1007.815,3,18,True,4,4,5,only issue missing update for one week,4.333333333333333,good
1004471.0,93.0,C02gg_3nwc,0ny_3nwcygo,Ticket,Medium,3.0,1,4khg,2022-01-11 12:28:28+00:00,2022-01-11 12:37:20+00:00,0.148,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-01-11 12:37:20+00:00,2022-01-11 13:19:02+00:00,0.695,2,2,True,4,4,4,,4.0,good
,,,,,,,3,4lhl,2022-01-11 13:19:02+00:00,2022-03-14 07:52:28+00:00,1482.557,2,14,True,3,3,3,need to have more attention to the ticket,3.0,needs_improvement
1004476.0,13.0,C02hk_3nwc,0ny_3nwcygo,Ticket,High,2.0,1,4khg,2022-01-11 13:17:46+00:00,2022-01-11 13:26:40+00:00,0.148,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-01-11 13:26:40+00:00,2022-01-11 13:36:40+00:00,0.167,1,1,True,4,4,4,duplicate ticket and closed without any work,4.0,good
1004503.0,377.0,C14gr8114,d1y10dygi,Ticket,Medium,1.0,1,4kpk,2022-01-13 05:22:50+00:00,2022-03-10 03:46:07+00:00,1342.388,3,11,True,4,4,4,,4.0,good
1004519.0,424.0,C12hgx18a,adyx18aygp,Ticket,High,2.0,1,4hghq,2022-01-13 13:47:04+00:00,2022-01-13 13:50:58+00:00,0.065,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-01-13 13:50:58+00:00,2022-05-18 11:18:17+00:00,2997.455,2,23,True,1,1,1,"very bad management for the ticket, no simulation or proper follow up and many escalation from service desk team",1.0,needs_improvement
1004526.0,347.0,C06ggctn0,t.yctn0ygp,Ticket,Medium,2.0,1,4hghk,2022-01-16 07:37:11+00:00,2022-01-16 08:17:45+00:00,0.676,1,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lqi,2022-01-16 08:17:45+00:00,2022-05-09 11:57:20+00:00,2715.66,4,16,True,5,5,5,delay from customer side with proper follow up from our team,5.0,good
1004530.0,5.0,C07hr_10u,u6y_10uygp,Ticket,High,1.0,1,4shl,2022-01-16 08:44:15+00:00,2022-01-23 06:57:59+00:00,166.229,2,18,True,5,5,5,,5.0,good
1004571.0,961.0,C06hg2xcu,t.y2xcuyhi,Ticket,High,2.0,1,4lrs,2022-01-17 21:57:28+00:00,2022-01-17 22:11:01+00:00,0.226,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-01-17 22:11:01+00:00,2022-10-23 07:11:14+00:00,6681.004,3,10,True,3,3,3,Issue not updated accurate and status changed to validation after 1 month and resolution provided after 5 month the ticket pending deployment for 4 months,3.0,needs_improvement
1004647.0,349.0,C06gsn039,t.yn039ygo,Ticket,Medium,2.0,1,4hghs,2022-01-23 11:58:19+00:00,2022-01-23 12:07:11+00:00,0.148,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sil,2022-01-23 12:07:11+00:00,2022-01-25 10:12:22+00:00,46.086,1,8,True,4,4,4,no update on the ticket with work done,4.0,good
1004667.0,24.0,C02gg0w_,0ny0w_ygi,Ticket,High,2.0,1,4hghk,2022-01-24 10:06:43+00:00,2022-01-24 10:09:55+00:00,0.053,3,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgh,2022-01-24 10:09:55+00:00,2022-03-22 05:39:10+00:00,1363.488,3,23,True,5,5,5,delay from ph_name side,5.0,good
1004687.0,191.0,C07gg0c-0,u6y0c-0ygr,Ticket,Medium,1.0,1,4ihs,2022-01-25 06:03:46+00:00,2022-01-25 06:55:36+00:00,0.864,2,4,True,5,5,5,,5.0,good
1004695.0,373.0,C12ggz_0,adyz_0ygq,Ticket,High,2.0,1,4kqo,2022-01-25 08:24:48+00:00,2022-01-25 08:33:53+00:00,0.151,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lsk,2022-01-25 08:33:53+00:00,2022-01-25 12:22:33+00:00,3.811,3,4,True,5,5,5,,5.0,good
1004761.0,352.0,C06gsn039,t.yn039ygo,Ticket,Highest,2.0,1,4kgi,2022-01-28 09:33:33+00:00,2022-01-28 09:38:06+00:00,0.076,1,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-01-28 09:38:06+00:00,2022-04-24 12:20:00+00:00,2066.698,3,51,True,2,2,2,investigation took so much time and no clear update on the ticket,2.0,needs_improvement
1004770.0,367.0,C12ggzcz0u,adyzcz0uygr,Ticket,High,3.0,1,4kqo,2022-01-30 08:21:30+00:00,2022-01-30 08:22:31+00:00,0.017,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4hghk,2022-01-30 08:22:31+00:00,2022-01-30 08:23:54+00:00,0.023,1,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,3,4sii,2022-01-30 08:23:54+00:00,2022-01-30 09:25:12+00:00,1.022,2,3,True,5,5,5,,5.0,good
1004778.0,33.0,C02hk0x93,0ny0x93yip,Ticket,High,2.0,1,4kqo,2022-01-30 10:10:00+00:00,2022-01-30 10:20:54+00:00,0.182,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-01-30 10:20:54+00:00,2022-05-15 07:55:33+00:00,2517.578,3,18,True,4,4,4,minor delay from Fares to update the ticket once it is changed to validation,4.0,good
1004798.0,368.0,C12ggzcz0u,adyzcz0uygq,Ticket,Highest,2.0,1,4hghq,2022-01-31 06:13:12+00:00,2022-01-31 06:18:22+00:00,0.086,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-01-31 06:18:22+00:00,2022-01-31 07:03:01+00:00,0.744,3,2,True,5,5,5,,5.0,good
1004808.0,514.0,C06ggt2_0,t.yt2_0ygr,Ticket,High,1.0,1,4sli,2022-01-31 07:58:10+00:00,2022-06-27 06:55:59+00:00,3526.964,8,45,True,4,4,4,delay from customer side with proper follow up from our team,4.0,good
1004836.0,2930.0,C01ggz-3,z8yz-3ygp,Ticket,Medium,2.0,1,4hghs,2022-02-01 06:50:47+00:00,2022-02-01 06:56:26+00:00,0.094,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-02-01 06:56:26+00:00,2022-02-01 13:36:52+00:00,6.674,2,2,True,5,5,5,this is a service request,5.0,good
1004854.0,17.0,C07hru9n,u6yu9nygl,Ticket,Medium,1.0,1,4ioh,2022-02-02 05:44:18+00:00,2022-02-02 06:37:35+00:00,0.888,4,5,True,5,5,5,,5.0,good
1004857.0,235.0,C12gg0.a,ady0.aygh,Ticket,Medium,2.0,1,4hghs,2022-02-02 07:48:08+00:00,2022-02-02 07:51:46+00:00,0.061,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-02-02 07:51:46+00:00,2022-02-07 15:25:46+00:00,127.567,4,5,True,5,5,5,,5.0,good
1004859.0,370.0,C12ggzcz0u,adyzcz0uygh,Ticket,High,2.0,1,4hghs,2022-02-02 08:39:16+00:00,2022-02-02 08:42:43+00:00,0.058,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lsk,2022-02-02 08:42:43+00:00,2022-12-26 08:29:20+00:00,7847.777,11,192,True,1,1,1,Wrong investigation which took long time without any result,1.0,needs_improvement
1004868.0,3203.0,C06ggn039,t.yn039ygo,Ticket,Medium,3.0,1,4hghk,2022-02-02 11:44:19+00:00,2022-02-02 11:45:00+00:00,0.011,1,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4hghs,2022-02-02 11:45:00+00:00,2022-02-02 11:46:50+00:00,0.031,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,3,4ssh,2022-02-02 11:46:50+00:00,2022-03-03 06:09:17+00:00,690.374,2,8,True,5,5,5,this is a service request,5.0,good
1004899.0,996.0,C06hg2xcu,t.y2xcuyhp,Ticket,High,2.0,1,4khg,2022-02-04 11:02:05+00:00,2022-02-04 11:05:34+00:00,0.058,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-02-04 11:05:34+00:00,2022-02-06 08:25:12+00:00,45.327,1,4,True,5,5,5,this is a service request,5.0,good
1004926.0,1004.0,C06hg2xcu,t.y2xcuyho,Ticket,Highest,2.0,1,4hghk,2022-02-06 17:05:10+00:00,2022-02-06 17:11:34+00:00,0.107,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-02-06 17:11:34+00:00,2022-10-23 07:16:25+00:00,6206.081,3,10,True,3,3,3,no proper update on the ticket and took long time from dev to provide a fix,3.0,needs_improvement
1004974.0,38.0,C02hk0x93,0ny0x93yhs,Ticket,Low,2.0,1,4kgr,2022-02-08 12:00:38+00:00,2022-05-31 12:10:40+00:00,2688.167,3,20,True,2,2,2,This is project related issue and not properly managed from the support team,2.0,needs_improvement
,,,,,,,2,4lhl,2022-05-31 12:10:40+00:00,2023-01-02 07:04:08+00:00,5178.891,5,3,True,2,2,2,This is project related issue and not properly managed from the support team,2.0,needs_improvement
1004975.0,39.0,C02hk0x93,0ny0x93yhs,Ticket,Low,2.0,1,4kgr,2022-02-08 12:09:42+00:00,2022-05-31 12:10:35+00:00,2688.015,2,17,True,2,2,2,This is project related issue and not properly managed from the support team,2.0,needs_improvement
,,,,,,,2,4lhl,2022-05-31 12:10:35+00:00,2023-01-02 06:55:19+00:00,5178.746,5,3,True,2,2,2,This is project related issue and not properly managed from the support team,2.0,needs_improvement
1004982.0,46.0,C02hk0x93,0ny0x93yhs,Ticket,Low,1.0,1,4lhl,2022-02-08 12:39:20+00:00,2023-01-02 07:00:49+00:00,7866.358,5,12,True,2,2,2,This is project related issue and not properly managed from the support team,2.0,needs_improvement
1004985.0,344.0,C10grx1nv,xayx1nvygr,Ticket,Medium,2.0,1,4khg,2022-02-08 13:23:55+00:00,2022-02-08 13:27:00+00:00,0.051,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4skr,2022-02-08 13:27:00+00:00,2022-08-28 05:10:15+00:00,4815.721,4,17,True,4,4,4,,4.0,good
1005010.0,4.0,C02hkz40,4hgog,Ticket,Medium,2.0,1,4kgr,2022-02-09 12:35:35+00:00,2022-02-09 12:43:25+00:00,0.131,1,3,True,1,1,1,bad management for ticket opened as internal task,1.0,needs_improvement
,,,,,,,2,4lhl,2022-02-09 12:43:25+00:00,2022-08-29 13:52:06+00:00,4825.145,3,6,True,1,1,1,bad management for ticket opened as internal task,1.0,needs_improvement
1005054.0,12.0,C02hkx0u,u6yx0uygs,Ticket,Medium,1.0,1,4shl,2022-02-13 07:12:49+00:00,2022-02-15 14:48:57+00:00,55.602,2,9,True,5,5,5,well managed,5.0,good
1005061.0,2.0,C02hkz01,0nyz01ygl,Ticket,High,2.0,1,4hghk,2022-02-13 07:58:23+00:00,2022-02-13 08:02:01+00:00,0.061,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4llr,2022-02-13 08:02:01+00:00,2022-06-15 12:15:11+00:00,2932.219,3,27,True,5,5,5,well managed,5.0,good
