id,no,project,reporter,type,priority,contributors,turn_no,assignee,started,ended,spent hours,steps,comments count,valid,Q1,Q2,Q3,Notes,compositeScore,performanceBinary
1005433.0,243.0,C12gg0.a,ady0.aygh,Ticket,High,3.0,1,4hghq,2022-03-03 09:55:56+00:00,2022-03-03 09:58:32+00:00,0.043,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4osr,2022-03-03 09:58:32+00:00,2022-06-09 06:20:45+00:00,2348.37,4,47,True,3,3,3,No proper update on the ticket to show the investigation and the provided fix,3.0,needs_improvement
,,,,,,,3,4lsk,2022-06-09 06:20:45+00:00,2022-06-15 10:24:51+00:00,148.068,2,7,True,3,3,3,No proper update on the ticket to show the investigation and the provided fix,3.0,needs_improvement
1005442.0,60.0,C06hsn039,t.yn039ygp,Ticket,Medium,1.0,1,4khi,2022-03-03 13:19:53+00:00,2022-04-21 12:07:42+00:00,1174.797,3,9,True,3,3,3,This is more into an inquiry but no proper follow up,3.0,needs_improvement
1005454.0,34.0,C07hr6cz0,u6y6cz0ygk,Ticket,Medium,1.0,1,,2022-03-06 10:15:15+00:00,2022-06-09 07:06:37+00:00,2276.856,3,11,True,5,5,5,This is not a ticket this is a service for preventive maintenance,5.0,good
1005462.0,400.0,C12ggzcz0u,adyzcz0uygh,Ticket,High,3.0,1,4hghk,2022-03-06 13:01:34+00:00,2022-03-06 13:06:23+00:00,0.08,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-03-06 13:06:23+00:00,2022-04-28 11:31:52+00:00,1270.425,4,55,True,3,3,3,No proper update on the ticket to show the investigation and the provided fix,3.0,needs_improvement
,,,,,,,3,4osr,2022-04-28 11:31:52+00:00,2022-06-07 09:52:57+00:00,958.351,2,17,True,3,3,3,No proper update on the ticket to show the investigation and the provided fix,3.0,needs_improvement
1005467.0,2222.0,C06gi1z0,t.y1z0ygi,Ticket,Medium,1.0,1,,2022-03-07 05:12:11+00:00,2022-03-07 06:45:30+00:00,1.555,2,3,True,5,5,5,,5.0,good
1005472.0,52.0,C11hg0w13,.wy0w13ygq,HD Service,Medium,1.0,1,4ops,2022-03-07 06:15:01+00:00,2022-03-20 05:12:20+00:00,310.955,2,5,True,4,4,4,there is 7 days before ticket resolved without any update,4.0,good
1005495.0,159.0,C01gg1_3_,z8y1_3_ygi,Ticket,Highest,3.0,1,4hghq,2022-03-08 13:11:52+00:00,2022-03-08 13:16:20+00:00,0.074,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4rqs,2022-03-08 13:16:20+00:00,2022-03-08 15:00:16+00:00,1.732,1,5,True,5,5,4,very good but need more follow up with customer,4.666666666666667,good
,,,,,,,3,4lip,2022-03-08 15:00:16+00:00,2022-03-29 05:50:15+00:00,494.833,2,6,True,5,5,4,very good but need more follow up with customer,4.666666666666667,good
1005500.0,10.0,C02hk00u,0ny00uygi,Ticket,Medium,4.0,1,4hgor,2022-03-09 06:35:51+00:00,2022-03-09 06:42:39+00:00,0.113,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-03-09 06:42:39+00:00,2022-03-13 12:30:35+00:00,101.799,2,3,True,3,3,3,need close follow up with client,3.0,needs_improvement
,,,,,,,3,4lhl,2022-03-13 12:30:35+00:00,2022-08-04 13:37:06+00:00,3457.109,1,28,True,3,3,3,need close follow up with client,3.0,needs_improvement
,,,,,,,4,4llr,2022-08-04 13:37:06+00:00,2022-08-21 07:20:16+00:00,401.719,2,7,True,3,3,3,need close follow up with client,3.0,needs_improvement
1005501.0,61.0,C06hsn039,t.yn039ygp,Ticket,Medium,2.0,1,4hgos,2022-03-09 06:40:18+00:00,2022-03-09 06:41:09+00:00,0.014,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4khi,2022-03-09 06:41:09+00:00,2022-09-15 07:42:57+00:00,4561.03,5,14,True,4,4,4,,4.0,good
1005510.0,52.0,C05gpc3,_byc3ygh,Ticket,Highest,2.0,1,4hgos,2022-03-09 10:56:48+00:00,2022-03-09 10:59:31+00:00,0.045,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pio,2022-03-09 10:59:31+00:00,2022-07-17 07:36:47+00:00,3116.621,3,17,True,1,1,1,No explain on ticket and no proper follow up,1.0,needs_improvement
1005514.0,2548.0,C06gg10,4sks,Ticket,Medium,2.0,1,4sks,2022-03-09 12:50:40+00:00,2022-03-09 13:00:13+00:00,0.159,1,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,t.y10ygh,2022-03-09 13:00:13+00:00,2022-03-13 11:06:54+00:00,94.111,2,3,True,4,4,4,,4.0,good
1005522.0,1111.0,C06hg2xcu,t.y2xcuyhp,Ticket,Highest,2.0,1,4hghq,2022-03-10 07:49:29+00:00,2022-03-10 07:50:13+00:00,0.012,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-03-10 07:50:13+00:00,2022-03-10 08:07:00+00:00,0.28,1,4,True,4,4,4,No investigation posted on the ticket,4.0,good
1005534.0,326.0,C11gg0d.nz,.wy0d.nzyhs,Ticket,Medium,1.0,1,4ops,2022-03-10 10:36:58+00:00,2022-04-04 05:38:56+00:00,595.033,2,5,True,5,5,5,,5.0,good
1005547.0,127.0,C11ggx0z2,.wyx0z2ygh,Ticket,High,1.0,1,4ops,2022-03-13 06:36:54+00:00,2022-03-16 10:36:08+00:00,75.987,2,6,True,5,5,5,,5.0,good
1005549.0,345.0,C10grx1nv,xayx1nvygr,Ticket,Medium,2.0,1,4hgor,2022-03-13 07:29:26+00:00,2022-03-13 07:35:38+00:00,0.103,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4skr,2022-03-13 07:35:38+00:00,2022-04-25 04:16:04+00:00,1028.674,5,36,True,4,4,4,"v.g follow up and investigation on the ticket, but few places they missed follow up with Dev team",4.0,good
1005561.0,1116.0,C06hg2xcu,t.y2xcuyhp,Ticket,High,2.0,1,4hghs,2022-03-13 10:35:05+00:00,2022-03-13 10:46:42+00:00,0.194,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-03-13 10:46:42+00:00,2022-06-13 07:36:31+00:00,2204.83,2,6,True,2,2,2,"Very bad update and follow up on the ticket, no investigation",2.0,needs_improvement
1005614.0,445.0,C12hgx18a,adyx18aygr,Ticket,High,3.0,1,4hgor,2022-03-15 11:09:27+00:00,2022-03-15 11:13:14+00:00,0.063,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-03-15 11:13:14+00:00,2022-03-15 11:15:26+00:00,0.037,1,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,3,4pps,2022-03-15 11:15:26+00:00,2022-03-15 21:23:01+00:00,10.126,1,0,True,3,3,3,,3.0,needs_improvement
,,,,,,,4,4lpo,2022-03-15 21:23:01+00:00,2022-07-21 04:37:19+00:00,3055.238,6,27,True,2,2,2,No follow up on the ticket,2.0,needs_improvement
1005633.0,200.0,C11gg.z0,.wyzc0uygr,Ticket,High,1.0,1,4ops,2022-03-16 08:33:31+00:00,2022-04-04 05:40:31+00:00,453.117,2,21,True,3,3,3,"No proper investigation shown in the ticket, and no update after connect with customer and issue is resolved",3.0,needs_improvement
1005639.0,2552.0,C06gg10,t.y10ygh,Ticket,High,1.0,1,4sks,2022-03-16 09:51:27+00:00,2022-03-20 05:52:49+00:00,92.023,3,7,True,5,5,5,Issue from bank side,5.0,good
1005687.0,448.0,C12hgx18a,adyx18aygr,Ticket,Blocker,2.0,1,4hgor,2022-03-21 07:53:14+00:00,2022-03-21 07:56:45+00:00,0.059,1,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-03-21 07:56:45+00:00,2022-03-23 14:21:06+00:00,54.406,3,5,True,5,5,5,,5.0,good
1005689.0,3210.0,C06ggn039,t.yn039ygo,Ticket,Medium,1.0,1,4kqk,2022-03-21 08:21:40+00:00,2022-03-28 07:13:48+00:00,166.869,2,4,True,5,5,5,,5.0,good
1005715.0,2250.0,C13ggb__0,bzyb__0ygh,Ticket,Medium,1.0,1,4oio,2022-03-22 11:57:26+00:00,2022-06-02 06:21:45+00:00,1722.405,7,15,True,3,3,3,Looks like we have two updates and not clear each update fix what,3.0,needs_improvement
1005729.0,239.0,C14gg8114,d1y10dygh,Ticket,High,1.0,1,4lkl,2022-03-23 11:06:40+00:00,2022-04-12 11:34:50+00:00,480.469,3,8,True,4,4,4,"Must do follow up outside helpdesk and update the ticket, not sure if the customer have issue in access our support portal",4.0,good
1005731.0,385.0,C14gr8114,d1y10dygh,Ticket,Medium,1.0,1,4kpk,2022-03-23 11:30:29+00:00,2022-09-27 04:05:47+00:00,4504.588,3,25,True,2,2,2,No proper investigation or follow up on the ticket,2.0,needs_improvement
1005756.0,67.0,C02hk0x93,0ny0x93yil,Ticket,High,3.0,1,4hgol,2022-03-27 05:46:31+00:00,2022-03-27 05:53:30+00:00,0.116,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-03-27 05:53:30+00:00,2022-03-27 05:53:34+00:00,0.001,1,0,True,0,0,0,No work done he left the team,0.0,needs_improvement
,,,,,,,3,4lhl,2022-03-27 05:53:34+00:00,2023-01-02 06:28:32+00:00,6744.583,4,15,True,3,3,3,Ticket is minor but took long time to be resolved and no proper update or follow up on the ticket,3.0,needs_improvement
1005770.0,252.0,C12gg0.a,ady0.aygh,Ticket,Highest,2.0,1,4hgos,2022-03-27 09:28:12+00:00,2022-03-27 09:30:38+00:00,0.041,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-03-27 09:30:38+00:00,2022-03-27 09:52:13+00:00,0.36,2,3,True,5,5,5,,5.0,good
1005778.0,107.0,C05gpx0_,_byx0_ygq,Ticket,Medium,3.0,1,4hgol,2022-03-27 11:52:39+00:00,2022-03-27 11:55:22+00:00,0.045,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pio,2022-03-27 11:55:22+00:00,2022-03-28 08:47:27+00:00,20.868,1,2,True,3,3,3,No action on the ticket,3.0,needs_improvement
,,,,,,,3,4qsk,2022-03-28 08:47:27+00:00,2023-01-23 12:01:55+00:00,7227.241,3,26,True,4,4,4,Mixed issues with CR but over all the ticket managed well,4.0,good
1005786.0,75.0,C02hk0x93,0ny0x93yil,Ticket,High,4.0,1,4hgor,2022-03-28 05:36:44+00:00,2022-03-28 05:39:07+00:00,0.04,7,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4hgos,2022-03-28 05:39:07+00:00,2022-03-28 05:40:14+00:00,0.019,1,0,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,3,4hgor,2022-03-28 05:40:14+00:00,2022-03-28 05:42:41+00:00,0.041,1,0,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,4,4kgr,2022-03-28 05:42:41+00:00,2022-05-31 12:09:03+00:00,1542.439,1,10,True,2,2,2,No proper documentation and follow up on the ticket,2.0,needs_improvement
,,,,,,,5,4lhl,2022-05-31 12:09:03+00:00,2023-01-02 06:06:46+00:00,5177.962,5,4,True,2,2,2,No proper documentation and follow up on the ticket,2.0,needs_improvement
1005792.0,511.0,C10ggx1nv,xayx1nvygr,Ticket,High,2.0,1,4hgol,2022-03-28 06:59:31+00:00,2022-03-28 07:06:48+00:00,0.121,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4skr,2022-03-28 07:06:48+00:00,2022-05-24 04:20:49+00:00,1365.234,3,24,True,3,3,3,took time in investigation,3.0,needs_improvement
1005794.0,561.0,C11gg02z9,.wy02z9yhg,Ticket,Medium,1.0,1,4ops,2022-03-28 07:21:04+00:00,2022-05-10 05:08:56+00:00,1029.798,2,19,True,5,5,5,,5.0,good
1005816.0,453.0,C12hgx18a,adyx18aygr,Ticket,High,2.0,1,4hgos,2022-03-29 06:00:22+00:00,2022-03-29 06:05:00+00:00,0.077,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-03-29 06:05:00+00:00,2022-07-24 06:56:15+00:00,2808.854,12,30,True,3,3,3,,3.0,needs_improvement
1005845.0,417.0,C12ggzcz0u,adyzcz0uygq,Ticket,Low,2.0,1,4hgol,2022-03-30 11:45:55+00:00,2022-03-30 11:49:19+00:00,0.057,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sii,2022-03-30 11:49:19+00:00,2022-04-04 10:59:41+00:00,119.173,5,8,True,3,3,3,,3.0,needs_improvement
1005909.0,155.0,C06hgw8ad,t.yw8adyhg,Ticket,Medium,2.0,1,4hgol,2022-04-04 07:17:50+00:00,2022-04-04 07:20:00+00:00,0.036,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sgr,2022-04-04 07:20:00+00:00,2022-04-16 23:42:34+00:00,304.376,3,5,True,5,3,5,few updates on ticket missing,4.333333333333333,good
1005913.0,97.0,C13grz0b,bzyz0bygo,Ticket,Highest,1.0,1,4psk,2022-04-04 08:34:02+00:00,2022-04-06 11:29:19+00:00,50.921,3,6,True,5,5,5,,5.0,good
1005940.0,11.0,C02hk00u,0ny00uygh,Ticket,Medium,4.0,1,4hgor,2022-04-05 11:42:27+00:00,2022-04-05 11:45:56+00:00,0.058,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4kgr,2022-04-05 11:45:56+00:00,2022-04-05 11:49:34+00:00,0.061,1,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,3,4kgh,2022-04-05 11:49:34+00:00,2022-07-25 09:31:45+00:00,2661.703,2,17,True,3,3,2,Poor follow up with C02  team,2.6666666666666665,needs_improvement
,,,,,,,4,4lhl,2022-07-25 09:31:45+00:00,2022-08-29 14:03:17+00:00,844.526,2,7,True,3,3,2,Poor follow up with C02  team,2.6666666666666665,needs_improvement
1005957.0,457.0,C12hgx18a,adyx18aygr,Ticket,Blocker,2.0,1,4hgol,2022-04-06 10:47:20+00:00,2022-04-06 10:51:28+00:00,0.069,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-04-06 10:51:28+00:00,2022-07-21 04:38:34+00:00,2537.785,2,23,True,2,2,2,bad management,2.0,needs_improvement
1005959.0,80.0,C02hk0x93,0ny0x93yip ,Ticket,High,2.0,1,4hgor,2022-04-06 11:10:45+00:00,2022-04-06 11:22:09+00:00,0.19,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4hgog,2022-04-06 11:22:09+00:00,2022-09-21 11:34:16+00:00,4032.202,2,27,True,4,3,4,Bad follow up with Dev to get accurate date for the fix,3.6666666666666665,needs_improvement
1005960.0,81.0,C02hk0x93,0ny0x93yoh,Ticket,High,2.0,1,4hgol,2022-04-06 11:14:28+00:00,2022-04-06 11:22:38+00:00,0.136,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4llr,2022-04-06 11:22:38+00:00,2022-08-03 11:29:50+00:00,2856.12,5,34,True,2,2,2,bad management and not clear communication,2.0,needs_improvement
1005967.0,296.0,C07ggx0u,u6yx0uygs,Ticket,Medium,1.0,1,,2022-04-06 12:03:01+00:00,2022-06-07 09:30:10+00:00,1485.452,1,3,True,3,3,3,PM ticket (HS-Service) take so much time to provide the report,3.0,needs_improvement
1006015.0,242.0,C14gg8114,d1y10dygh,Ticket,Medium,1.0,1,4kpk,2022-04-11 03:54:35+00:00,2022-09-13 09:16:59+00:00,3725.373,6,21,True,3,3,3,Took so much time for investigation and no clear documentation on the ticket for the investigation steps,3.0,needs_improvement
1006026.0,525.0,C06hgfz_x,t.yfz_xygs,Ticket,High,2.0,1,4hgos,2022-04-11 08:47:56+00:00,2022-04-11 08:50:00+00:00,0.034,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sgg,2022-04-11 08:50:00+00:00,2022-07-17 23:53:27+00:00,2343.058,4,20,True,3,3,3,Took so much time form development and no clear documentation on the ticket for the investigation steps,3.0,needs_improvement
1006029.0,156.0,C06gotz0,t.ytz0ygo,Ticket,High,3.0,1,4hghs,2022-04-11 09:09:14+00:00,2022-04-11 09:15:06+00:00,0.098,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,3cxogo,2022-04-11 09:15:06+00:00,2022-04-11 10:05:23+00:00,0.838,1,1,True,5,5,5,,5.0,good
,,,,,,,3,4qsk,2022-04-11 10:05:23+00:00,2022-04-11 10:06:52+00:00,0.025,1,0,True,5,5,5,,5.0,good
,,,,,,,4,3cxogo,2022-04-11 10:06:52+00:00,2022-04-11 10:11:33+00:00,0.078,1,0,True,5,5,5,,5.0,good
,,,,,,,5,4qsk,2022-04-11 10:11:33+00:00,2022-04-11 10:17:56+00:00,0.106,1,1,True,5,5,5,,5.0,good
,,,,,,,6,3cxogo,2022-04-11 10:17:56+00:00,2022-04-11 10:34:21+00:00,0.274,2,2,True,5,5,5,,5.0,good
1006057.0,2622.0,C06ggt_9,t.yt_9ygh,Ticket,High,3.0,1,4khg,2022-04-12 08:57:03+00:00,2022-04-12 08:57:50+00:00,0.013,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4hghs,2022-04-12 08:57:50+00:00,2022-04-12 09:00:26+00:00,0.043,1,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,3,4khg,2022-04-12 09:00:26+00:00,2022-04-12 09:01:42+00:00,0.021,1,0,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,4,4slh,2022-04-12 09:01:42+00:00,2023-02-23 12:11:54+00:00,7611.17,7,2,True,5,5,5,,5.0,good
1006058.0,88.0,C02hk0x93,0ny0x93yik,Ticket,High,4.0,1,4hgos,2022-04-12 08:58:07+00:00,2022-04-12 08:59:02+00:00,0.015,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4khg,2022-04-12 08:59:02+00:00,2022-04-12 09:02:45+00:00,0.062,1,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,3,4kgr,2022-04-12 09:02:45+00:00,2022-04-12 09:10:43+00:00,0.133,1,1,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,4,4hgog,2022-04-12 09:10:43+00:00,2023-02-19 14:31:28+00:00,7517.346,2,85,True,3,3,3,,3.0,needs_improvement
1006061.0,319.0,C13grunzv,bzyunzvygi,Ticket,Blocker,1.0,1,4psk,2022-04-12 09:22:36+00:00,2022-04-19 09:54:23+00:00,168.53,3,7,True,5,5,5,,5.0,good
1006063.0,3.0,C02hk0_0,0ny0x93yoh,Ticket,Medium,3.0,1,4hghs,2022-04-12 09:38:59+00:00,2022-04-12 09:39:49+00:00,0.014,2,2,True,5,5,5,wrong project ticket was closed,5.0,good
,,,,,,,2,4kgi,2022-04-12 09:39:49+00:00,2022-04-12 09:42:55+00:00,0.052,1,2,True,5,5,5,wrong project ticket was closed,5.0,good
,,,,,,,3,4llr,2022-04-12 09:42:55+00:00,2022-04-13 06:54:03+00:00,21.186,3,6,True,5,5,5,wrong project ticket was closed,5.0,good
1006065.0,352.0,C10grx1nv,xayx1nvygr,Ticket,Medium,2.0,1,4skr,2022-04-12 09:56:38+00:00,2022-04-19 12:01:28+00:00,170.081,2,10,True,3,3,3,investigation took so much time from both SID and DEV,3.0,needs_improvement
,,,,,,,2,4hgho,2022-04-19 12:01:28+00:00,2022-07-26 07:06:45+00:00,2347.088,3,34,True,3,3,3,investigation took so much time from both SID and DEV,3.0,needs_improvement
,,,,,,,3,4hgho,2022-07-26 07:06:45+00:00,2022-12-04 09:15:43+00:00,3146.149,30,75,True,3,3,3,investigation took so much time from both SID and DEV,3.0,needs_improvement
1006073.0,2469.0,C06gg__z0,t.y__z0ygq,Ticket,Highest,2.0,1,4hghs,2022-04-13 07:12:23+00:00,2022-04-13 07:15:09+00:00,0.046,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sks,2022-04-13 07:15:09+00:00,2022-04-14 06:49:17+00:00,23.569,3,4,True,4,4,4,,4.0,good
1006083.0,528.0,C06hgfz_x,t.yfz_xygs,Ticket,High,2.0,1,4hghs,2022-04-13 10:21:33+00:00,2022-04-13 10:25:53+00:00,0.072,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sgg,2022-04-13 10:25:53+00:00,2022-05-18 12:07:10+00:00,841.688,5,10,True,3,3,3,No investigation shown in the ticket and delay in customer feedback,3.0,needs_improvement
1006087.0,2461.0,C06gg1_3_,4kqp,Ticket,High,1.0,1,4kqp,2022-04-13 11:41:26+00:00,2022-04-13 11:53:04+00:00,0.194,2,3,True,4,4,4,,4.0,good
1006097.0,102.0,C02ggu9n,0ny0x93yis,Ticket,High,2.0,1,4hgos,2022-04-14 07:09:29+00:00,2022-04-14 07:12:29+00:00,0.05,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lhl,2022-04-14 07:12:29+00:00,2022-09-25 14:07:43+00:00,3942.921,3,24,True,1,1,1,issue is very clear but we have miscommunication and unclear direction to customer and bad follow up on the ticket,1.0,needs_improvement
1006128.0,315.0,C08gg811,vey811ygi,Ticket,Highest,2.0,1,4hgor,2022-04-17 09:06:30+00:00,2022-04-17 09:21:47+00:00,0.255,2,4,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4slh,2022-04-17 09:21:47+00:00,2022-05-31 06:59:52+00:00,1053.635,2,6,True,4,4,4,,4.0,good
1006139.0,531.0,C06hgfz_x,t.yfz_xygs,Ticket,High,2.0,1,4hghs,2022-04-17 12:48:33+00:00,2022-04-17 12:52:13+00:00,0.061,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lls,2022-04-17 12:52:13+00:00,2022-07-18 11:57:32+00:00,2207.089,4,16,True,4,4,4,,4.0,good
1006150.0,2694.0,C06ggtz0,t.ytz0ygk,Ticket,Medium,2.0,1,4hghq,2022-04-18 07:19:43+00:00,2022-04-18 07:48:05+00:00,0.473,2,5,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lhl,2022-04-18 07:48:05+00:00,2022-06-19 13:43:54+00:00,1493.93,3,7,True,1,1,1,,1.0,needs_improvement
1006218.0,39.0,C02ggx00,0nyx00ygp,Ticket,Medium,2.0,1,4hgor,2022-04-20 08:55:31+00:00,2022-04-20 09:00:31+00:00,0.083,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lhl,2022-04-20 09:00:31+00:00,2022-04-27 12:06:27+00:00,171.099,2,10,True,3,3,3,,3.0,needs_improvement
1006237.0,438.0,C12ggzcz0u,adyzcz0uygr,Ticket,Medium,3.0,1,4hgos,2022-04-21 08:40:33+00:00,2022-04-21 08:48:34+00:00,0.134,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4osr,2022-04-21 08:48:34+00:00,2022-04-26 06:29:23+00:00,117.68,2,5,True,3,3,3,,3.0,needs_improvement
,,,,,,,3,4sii,2022-04-26 06:29:23+00:00,2022-04-28 07:05:06+00:00,48.595,2,1,True,4,3,4,,3.6666666666666665,needs_improvement
1006253.0,538.0,C06hgfz_x,t.yfz_xygs,Ticket,Medium,2.0,1,4hghk,2022-04-23 12:06:05+00:00,2022-04-23 12:11:05+00:00,0.083,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lls,2022-04-23 12:11:05+00:00,2022-04-23 12:32:07+00:00,0.351,1,2,True,5,5,5,,5.0,good
1006256.0,75.0,C11grzvznv,.wyzvznvyhh,Ticket,Highest,1.0,1,4ops,2022-04-24 06:44:35+00:00,2022-04-24 11:01:24+00:00,4.28,2,5,True,4,4,5,,4.333333333333333,good
1006259.0,3434.0,C13ggb_0,bzyb_0ygo,Ticket,Medium,1.0,1,4oqq,2022-04-24 07:11:16+00:00,2022-07-28 08:44:08+00:00,2281.548,3,25,True,5,5,5,,5.0,good
1006279.0,472.0,C12hgx18a,adyx18aygs,HD Service,High,2.0,1,4hghk,2022-04-25 08:21:31+00:00,2022-04-25 08:24:33+00:00,0.051,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lpo,2022-04-25 08:24:33+00:00,2022-10-03 07:08:30+00:00,3862.732,13,42,True,5,5,5,,5.0,good
1006288.0,95.0,C02hk0x93,0ny0x23yoi,Ticket,High,3.0,1,4hghk,2022-04-25 10:54:31+00:00,2022-04-25 10:57:08+00:00,0.044,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4hghs,2022-04-25 10:57:08+00:00,2022-04-25 10:58:01+00:00,0.015,1,1,True,5,5,5,,5.0,good
,,,,,,,3,4hgog,2022-04-25 10:58:01+00:00,2023-02-27 14:57:29+00:00,7395.991,6,39,True,2,2,2,"issue forwarded to dev without any investigation on the ticket, and bad follow up on the ticket",2.0,needs_improvement
1006292.0,540.0,C06hgfz_x,t.yfz_xygs,Deployment,High,2.0,1,4khg,2022-04-25 13:11:26+00:00,2022-04-25 13:17:43+00:00,0.105,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lls,2022-04-25 13:17:43+00:00,2022-04-26 08:34:10+00:00,19.274,1,4,True,5,5,5,,5.0,good
1006331.0,65.0,C06hsn039,t.yn039ygp,Ticket,High,1.0,1,4khi,2022-04-28 06:49:11+00:00,2022-07-31 13:20:47+00:00,2262.527,5,6,True,3,3,5,,3.6666666666666665,needs_improvement
1006514.0,78.0,C11grzvznv,.wyzvznvyhh,Ticket,High,1.0,1,4ops,2022-05-15 11:32:59+00:00,2022-05-16 06:20:59+00:00,18.8,3,4,True,5,5,5,,5.0,good
1006522.0,266.0,C12gg0.a,ady0.aygh,Ticket,High,2.0,1,4hgos,2022-05-16 05:14:54+00:00,2022-05-16 05:17:24+00:00,0.042,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lsk,2022-05-16 05:17:24+00:00,2022-05-16 07:24:08+00:00,2.112,2,6,True,5,5,5,,5.0,good
1006523.0,267.0,C12gg0.a,ady0.aygh,Ticket,High,2.0,1,4hgol,2022-05-16 06:36:41+00:00,2022-05-16 06:40:18+00:00,0.06,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lsk,2022-05-16 06:40:18+00:00,2022-05-16 09:26:53+00:00,2.776,3,4,True,3,3,5,,3.6666666666666665,needs_improvement
